"Subject","Activity","tBodyGyroMag.mean..","tBodyGyroMag.std..","tBodyGyroMag.mad..","fBodyGyro.meanFreq...X","fBodyGyro.meanFreq...Y","fBodyGyro.meanFreq...Z","fBodyAcc.min...Z","fBodyAcc.sma..","fBodyAcc.energy...X","fBodyAccJerk.mean...Y","fBodyAccJerk.mean...Z","fBodyAccJerk.std...X","fBodyAccJerk.bandsEnergy...33.40","fBodyAccJerk.bandsEnergy...41.48","fBodyAccJerk.bandsEnergy...49.56","fBodyAcc.bandsEnergy...17.32","fBodyGyro.bandsEnergy...33.48","fBodyAcc.skewness...Y","fBodyAccJerk.bandsEnergy...1.16.2","fBodyAccJerk.bandsEnergy...17.32.1","tBodyAcc.correlation...Y.Z","tGravityAcc.mean...X","tGravityAcc.mean...Y","tBodyAccJerk.max...Y","tBodyAccJerk.max...Z","tBodyAccJerk.min...X","tBodyGyroJerk.arCoeff...Z.1","tBodyGyroJerk.arCoeff...Z.2","tBodyGyroJerk.arCoeff...Z.3","tBodyAccJerk.arCoeff...Z.1","tBodyGyro.mad...X","tBodyGyro.arCoeff...Y.4","tBodyGyro.iqr...X","tBodyGyroMag.iqr..","tBodyGyroMag.entropy..","tBodyGyroMag.arCoeff..1","fBodyGyro.skewness...Z","fBodyGyro.kurtosis...Z","fBodyGyro.bandsEnergy...1.8","fBodyAcc.iqr...Z","fBodyAcc.entropy...X","fBodyAcc.entropy...Y","fBodyAccJerk.mad...Z","fBodyAccJerk.max...X","fBodyAccJerk.max...Y","fBodyAccJerk.bandsEnergy...49.64","fBodyAccJerk.bandsEnergy...1.24","fBodyAccJerk.bandsEnergy...25.48","fBodyAcc.bandsEnergy...1.24","fBodyGyro.bandsEnergy...25.48","fBodyAcc.kurtosis...Z","fBodyAccJerk.bandsEnergy...49.64.2","fBodyAccJerk.bandsEnergy...1.24.1","tGravityAcc.min...X","tGravityAcc.min...Y","tGravityAcc.min...Z","tBodyAccJerk.entropy...Y","tBodyAccJerk.entropy...Z","tBodyAccJerk.arCoeff...X.1","tBodyAccMag.energy..","tBodyAccMag.iqr..","tBodyAccMag.entropy..","tBodyAccJerk.correlation...X.Z","tBodyGyro.max...Z","tBodyGyro.correlation...X.Y","tBodyGyro.entropy...Z"
1,"LAYING",-0.874759548,-0.81901016976,-0.83451699672,-0.003546795856,-0.091529130882,0.01045812566,-0.9470157928,-0.8915852114,-0.9897355792,-0.9224626098,-0.9480609042,-0.9641607086,-0.9969585804,-0.997390545,-0.9977339956,-0.9941868446,-0.9778129572,-0.253292613984,-0.9847571962,-0.9924526128,-0.023365945138,-0.24888179828,0.70554977346,-0.9442716378,-0.958060451,0.9477450884,0.191490655022,-0.07645285388,0.220384788176,0.14295898018,-0.9002609456,0.089476031036,-0.933661934,-0.880476912,0.02924496756,-0.1076311552812,-0.0592593172,-0.370745221402,-0.968166132,-0.953602662,-0.706671531112,-0.69292383836,-0.9568036188,-0.9752260554,-0.9468109744,-0.9977340718,-0.9968131126,-0.9937447174,-0.9896065986,-0.9861645352,-0.48536717122,-0.9838882006,-0.9854256262,-0.236157682494,0.6921133129,0.4138740328,-0.603353620074,-0.608123046707,0.04806876155,-0.934348739,-0.82331978158,-0.31317500346,0.146174602854,-0.67459248812,-0.056377897954,-0.15897537992
2,"LAYING",-0.950011569583333,-0.961164053958333,-0.956437945208333,0.10261131938125,0.04228066839375,0.0552985986479167,-0.986975118541667,-0.979798557083333,-0.998827222083333,-0.982768250416667,-0.986197134583333,-0.987250255833333,-0.999796080416667,-0.999706765833333,-0.999794338333333,-0.999206848125,-0.999782621875,-0.4003487933125,-0.999585965625,-0.999509661041667,-0.248458834006667,-0.509754238125,0.752536639375,-0.987731840208333,-0.98877349375,0.981766123333333,0.331703430241667,-0.0138776963541667,0.25287273325,0.274171520625,-0.988574029583333,-0.0115106567916667,-0.988829330416667,-0.955668721041667,-0.171344921556875,0.11397808058125,0.0358514288416667,-0.236468275895833,-0.999736503958333,-0.984209508125,-0.846387782083333,-0.894800975625,-0.988304917083333,-0.991040922291667,-0.987275651666667,-0.999785589166667,-0.999723866875,-0.9993985775,-0.998829923333333,-0.999868095833333,-0.7727719634375,-0.99889939875,-0.99962279125,-0.469052540208333,0.764376011041667,0.644932617291667,-0.731370267083333,-0.738057265833333,0.0924885562902083,-0.998693560833333,-0.981336273541667,-0.5971313943125,0.148400431375,-0.709029770625,-0.329378660083333,-0.316074596208333
3,"LAYING",-0.951564751451613,-0.954275110967742,-0.950223007419355,-0.0822166454290323,-0.0266820108903226,0.147686455548065,-0.983148220967742,-0.970669673709677,-0.999632424677419,-0.968752113709677,-0.979122344354839,-0.983122615967742,-0.999585314354839,-0.999525518064516,-0.999650077096774,-0.999421686935484,-0.999639393387097,-0.484620874354839,-0.999000653225806,-0.998813854354839,-0.376096497496774,-0.241758478064516,0.837032099677419,-0.97463843483871,-0.981709101774194,0.975176638870968,0.207930122269355,-0.0319818975903226,0.200827292785484,0.168880393833871,-0.977285024032258,0.141522906432258,-0.980982956774194,-0.95371812,-0.118223990135484,-0.0178929888339516,-0.289482907359677,-0.598930925190323,-0.999292179032258,-0.974066521612903,-0.832192841451613,-0.793055642725806,-0.98163745516129,-0.987232118709677,-0.976921985967742,-0.999626881451613,-0.999698228709677,-0.999086434354839,-0.999648083870968,-0.999751884032258,-0.691639019354839,-0.998423517419355,-0.998883061935484,-0.200734559516129,0.846302243548387,0.480051922741935,-0.612120826193548,-0.666076457580645,0.0664192532077419,-0.998390336774194,-0.974889963709677,-0.521034473483871,0.0577616365080645,-0.708553606935484,-0.438123050925323,-0.331544650483871
4,"LAYING",-0.930236462592593,-0.947031781666667,-0.939716569444444,-0.0660921823944444,-0.526889995562963,0.152886311603704,-0.985459387777778,-0.95238466,-0.993357406666667,-0.943969987222222,-0.975383329444444,-0.980079292592593,-0.999432140925926,-0.998840199074074,-0.999288087962963,-0.997289496111111,-0.998939838518519,-0.51869020707963,-0.998689827777778,-0.99145247462963,-0.048102286662037,-0.420664662222222,0.915165104259259,-0.957196047962963,-0.980883460740741,0.976463395185185,0.34886213187037,-0.0331196902375926,0.281359085725926,0.160010773592593,-0.973955353148148,0.252928205555556,-0.975290096666667,-0.938256452592593,0.0592396327555556,-0.143510052077778,-0.149955358224074,-0.451883781487963,-0.999099922777778,-0.97211736962963,-0.789811565212593,-0.766087929462963,-0.978266828888889,-0.983777337407407,-0.958079840555556,-0.999287694814815,-0.999440516296296,-0.997708686666667,-0.993317696296296,-0.998620717777778,-0.43657323487037,-0.998566838333333,-0.995006648703704,-0.387814021666667,0.914977656851852,0.336816828907407,-0.553897035759259,-0.663294345518519,0.0946053135803704,-0.99135165537037,-0.953028169074074,-0.491449019777778,0.153753289624074,-0.699183462962963,-0.582708594244444,-0.305340517407407
5,"LAYING",-0.946938300576923,-0.958287921923077,-0.952875664807692,-0.0227235857115385,0.06812484775,0.0413600281009615,-0.986574590576923,-0.968814721538461,-0.997287959038462,-0.965328566153846,-0.983250309423077,-0.985625270384615,-0.999612807884615,-0.999454816923077,-0.999690912115385,-0.999061812115385,-0.999564754038462,-0.605061134076923,-0.999491172884615,-0.998335207307692,-0.072762798925,-0.483470597692308,0.954890346153846,-0.973338710576923,-0.985722106538461,0.981052836538462,0.250144679048077,-0.109409421707885,0.171238411417308,0.17165626265,-0.980498679038462,0.207325522009615,-0.981771228653846,-0.952930349230769,-0.0445323997692308,0.269477339442308,-0.0984504252615385,-0.423511395475,-0.9995535325,-0.978581723076923,-0.815294945769231,-0.837539047692308,-0.984635113461538,-0.988890191346154,-0.972230180769231,-0.999662058461538,-0.999778087692308,-0.999180778846154,-0.997265369230769,-0.999704359423077,-0.255694162761538,-0.999410398653846,-0.998865134615385,-0.446211562884615,0.961919760192308,0.260012211538462,-0.538175662884615,-0.6952649275,0.156015787396154,-0.997055165192308,-0.972049200192308,-0.512185470096154,0.119374220365385,-0.706131431346154,-7.98036538461484e-05,-0.286272594134615
6,"LAYING",-0.908980174736842,-0.920914497017544,-0.915118535438596,0.102549066280877,0.0236567802333333,0.0445225537614035,-0.97506731122807,-0.927698911403509,-0.986255646491228,-0.936043420175439,-0.954425844736842,-0.968619159473684,-0.999255012982456,-0.999196994035088,-0.999471189298246,-0.996021620175439,-0.99647563877193,-0.587302832122807,-0.996990566491228,-0.995276238421053,-0.129551622545614,-0.47670987877193,0.956593814210526,-0.954697292105263,-0.963734081403509,0.962113922105263,0.0820618976894737,0.0563821224982456,0.135805610496491,0.145285206147193,-0.958462365438597,0.00773933094736842,-0.962215568245614,-0.922621596842105,0.198550713115789,0.16240284377193,-0.267523117491228,-0.576183250245614,-0.998533880877193,-0.948412698421053,-0.662995360561404,-0.665257789894737,-0.958986867719298,-0.97598438122807,-0.944650640175439,-0.999448665964912,-0.99864981245614,-0.998597444736842,-0.986032859298246,-0.995125798245614,-0.394627613175439,-0.996770289122807,-0.993992793684211,-0.45564956,0.951792929473684,0.161805470608772,-0.410387352754386,-0.479027194877193,-0.0692230434561404,-0.977090649824561,-0.914139321052632,-0.255763526842105,-0.0375073017142105,-0.670565457368421,-0.236676165368421,-0.144707605789474
7,"LAYING",-0.915793634807692,-0.918662459038462,-0.913216518269231,-0.139745225083077,-0.453725644769231,0.0144682871075,-0.979178515,-0.947640616153846,-0.992124973461538,-0.972531648846154,-0.969524977692308,-0.983560175384615,-0.999582385769231,-0.999480301538462,-0.998594741346154,-0.996461058076923,-0.998094667115385,0.167796816548077,-0.996491978653846,-0.99890152,-0.484447445788462,-0.502814250576923,0.393444278076923,-0.975900757307692,-0.971154583653846,0.975126828269231,0.211584784211538,-0.046902259225,0.151464594340385,0.172480255115385,-0.966844451153846,0.183869034692308,-0.976036424807692,-0.923963606153846,0.183956459359615,-0.136286639961538,-0.0592601202115385,-0.364169362051923,-0.996949166923077,-0.963225610384615,-0.743868035288461,-0.76468154735,-0.972979780769231,-0.987504706538462,-0.980817558653846,-0.998533337307692,-0.999317345769231,-0.999345958461539,-0.992053286153846,-0.998774402115385,-0.588695918055769,-0.995971171153846,-0.998340346538461,-0.470957585769231,0.40374767,0.896470508653846,-0.705041548846154,-0.640996744538462,-0.0195221581192308,-0.98688264,-0.931577746923077,-0.301865093615385,0.0218061691442308,-0.7006968875,-0.733230652667308,-0.287548704230769
8,"LAYING",-0.924253348518518,-0.932470764444444,-0.92896628462963,-0.105590903972222,-0.199880205519074,0.213568382200185,-0.972898744074074,-0.945793468333333,-0.992896097777778,-0.975877437407407,-0.962111136666667,-0.975959911481481,-0.999230526481481,-0.998451048333333,-0.998888027407407,-0.995415528333333,-0.998069106481482,0.0296813282962963,-0.99322829,-0.999280192592593,-0.415233477035185,-0.405930036111111,0.589922434814815,-0.983343107962963,-0.972074877222222,0.961858502037037,0.304014325074074,-0.0827043257907407,0.220355225028889,0.16864463397963,-0.967480663148148,0.151643667981481,-0.967978611296296,-0.930613600555556,0.0253875322407407,0.0291632626462963,-0.308840712481481,-0.602140666462963,-0.998936908703704,-0.959676495,-0.758267964444444,-0.807243383351852,-0.967468229814815,-0.981712504444444,-0.982738221111111,-0.998874428518518,-0.998466393518519,-0.998256743148148,-0.992854917777778,-0.998431447962963,-0.468516482111111,-0.99354087962963,-0.999167817592593,-0.377902831666667,0.598553834444444,0.703172528703704,-0.695476420259259,-0.631809764185185,0.0936516551314815,-0.985188557037037,-0.926372477796296,-0.367739031138889,0.149155145948148,-0.715096583518519,-0.392822978298148,-0.398587132666667
9,"LAYING",-0.9071250998,-0.8985578738,-0.8928114554,-0.23069917904112,-0.321206958058,-0.055125413678,-0.982644379,-0.9375930072,-0.9936009794,-0.9640828062,-0.955909215,-0.9686013042,-0.9990305422,-0.9988788328,-0.9993047034,-0.9975738436,-0.9988225724,0.07484658488,-0.995744966,-0.9990962948,0.17478719393,-0.5802528348,-0.1191541962,-0.9734461226,-0.9622967814,0.9606437354,0.009585187208,-0.137753447194,0.1047974618,-0.01180273398,-0.9470797636,0.088845619434,-0.9535986152,-0.9053267288,0.31996325044,-0.18732488684,-0.39128664472,-0.7265809608818,-0.998004997,-0.952929412,-0.6075782485,-0.64975832692,-0.9572578948,-0.9767022564,-0.9715735264,-0.999288341,-0.998791113,-0.9984432326,-0.9935437332,-0.9988861882,-0.68751604922,-0.9983176608,-0.99853189,-0.5470816026,-0.0996191422,0.9508478186,-0.55823594368,-0.48122111922,-0.119916930944,-0.9906763784,-0.9332511646,-0.177677680106,0.002637530034,-0.7200897796,-0.09610266378,-0.320535599818
10,"LAYING",-0.937590998793103,-0.927471165517241,-0.924510234137931,0.0707575751344828,0.0713125646482759,0.157620505460345,-0.981463695344828,-0.961344334655172,-0.997323116034483,-0.968039173793103,-0.972592212931034,-0.978904364137931,-0.999678942758621,-0.999447422758621,-0.999540263965517,-0.998423753275862,-0.998270545689655,-0.32744479537931,-0.998085822586207,-0.997424897586207,0.198550505132759,-0.453069737586207,-0.139297681034483,-0.973737213793103,-0.974925378275862,0.973646616206897,0.172387432255517,-0.0954033576034483,0.138008092431034,0.228723914241379,-0.966329291206897,-0.0639014426896552,-0.973910603275862,-0.934035799655172,0.0241659382758621,0.200753956931034,-0.326710347534483,-0.631809649862069,-0.995251231206897,-0.970096791724138,-0.780718570534483,-0.801003094137931,-0.975571228275862,-0.982334620517241,-0.973602480344828,-0.999516506896552,-0.999219438793103,-0.999483852758621,-0.997280879310345,-0.998832932241379,-0.649796303362069,-0.996393684482759,-0.997690109310345,-0.415941638448276,-0.119156407241379,-0.035570275,-0.655710499827586,-0.65048269512069,0.0269816004551724,-0.990169405862069,-0.949387477931035,-0.506061548965517,0.160818095720172,-0.723137094310345,-0.0462643436896552,-0.410515439413793
